BatchTime,TrackTime,Time,DateTime,ID,ExtID,Type,Assoc,TrackAssoc,NonAssoc,Range,RangeStd,VelDopp,VelDoppStd,Azimuth,AzimuthStd,Elevation,ElevationStd,Age,LastAssocAge,Lat,Lon,Alt,PosNorth,PosNorthStd,PosWest,PosWestStd,PosUp,PosUpStd,VelNorth,VelNorthStd,VelWest,VelWestStd,VelUp,VelUpStd,VelAbs,Aspect,AccelNorth,AccelNorthStd,AccelWest,AccelWestStd,AccelUp,AccelUpStd,Beta,Period,RCS,POOLat,POOLon,POOAlt,POORange,POOAzimuth,POOCEP,POOTime,POOMuzzleVelocity,POOLaunchHeading,POOLaunchQE,POILat,POILon,POIAlt,POIRange,POIAzimuth,POICEP,POITime,POIImpactVelocity,POIImpactHeading,POIImpactQE,TgtRange,TgtRangeStd,TgtVel,TgtVelStd,TgtAz,TgtAzStd,TgtEl,TgtElStd,TgtSNR,TgtRCSAct,Test1,Test2,Test3,Test4,Test5,Test6,Test7,Test8,Test9,Test10,Flags
367866590,367866590,585,2020-02-24 11:17:16:346,1770,0,0,14,0,1,1153.939,0.7716838,-10.41434,0.5305589,-53.31557,0.3118067,0.08052254,0.2931133,7.145882,0.351437,52.2236685037066,21.1205062036065,124.006,689.3707,5.048903,925.3864,3.813148,1.621726,5.903288,-0.913909,2.765758,-12.2989,2.141976,-3.852119,2.27576,12.9204142066531,36.2894303457246,0,0,0,0,0,0,0,0.24,0.003653383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88,0.23,0.23,0,0.24,0,0.35,0,5.4,25.03,0x22200080
367924998,367924998,644,2020-02-24 11:17:16:404,1770,0,0,14,0,1,1153.331,0.7852905,-10.41138,0.5415724,-53.29638,0.3199424,0.06938759,0.2986517,7.20429,0.409845,52.2236680254166,21.1205167152866,123.7809,689.3173,5.176132,924.6681,3.911698,1.396731,6.011664,-0.913909,2.767457,-12.2989,2.145055,-3.852119,2.275767,12.9204142066531,36.3116179776825,0,0,0,0,0,0,0,0.24,0.003653383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88,0.23,0.23,0,0.24,0,0.41,0,5.6,25.03,0x22200080
367925163,367925163,644,2020-02-24 11:17:16:404,1770,0,0,14,0,1,1153.329,0.7853305,-10.41137,0.5416032,-53.29632,0.3199656,0.06935611,0.2986674,7.204455,0.41001,52.2236680240654,21.1205167449816,123.7803,689.3171,5.176495,924.6661,3.911978,1.396096,6.011972,-0.913909,2.767461,-12.2989,2.145064,-3.852119,2.275767,12.9204142066531,36.3116822519637,0,0,0,0,0,0,0,0.24,0.003653383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88,0.23,0.23,0,0.24,0,0.41,0,5.6,25.03,0x22200080
367983571,367983571,702,2020-02-24 11:17:16:463,1770,0,0,14,0,1,1152.721,0.7999584,-10.4084,0.5524045,-53.27711,0.3282238,0.05820938,0.3042598,7.262863,0.468418,52.2236675457744,21.1205272566622,123.5552,689.2638,5.305603,923.9477,4.012025,1.171101,6.121318,-0.913909,2.769159,-12.2989,2.148138,-3.852119,2.275774,12.9204142066531,36.3338938535903,0,0,0,0,0,0,0,0.24,0.003653383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88,0.23,0.23,0,0.24,0,0.47,0,5.7,25.03,0x22200080
367983736,367983736,702,2020-02-24 11:17:16:463,1770,0,0,14,0,2,1152.719,0.8000011,-10.40839,0.5524347,-53.27705,0.3282472,0.05817787,0.3042757,7.263028,0.468583,52.2236675444232,21.1205272863572,123.5545,689.2636,5.30597,923.9457,4.01231,1.170465,6.121628,-0.913909,2.769163,-12.2989,2.148147,-3.852119,2.275774,12.9204142066531,36.3339580938904,0,0,0,0,0,0,0,0.24,0.003653383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88,0.23,0.23,0,0.24,0,0.47,0,5.7,25.03,0x22200080
368042143,368042143,761,2020-02-24 11:17:16:521,1770,0,0,14,0,2,1152.111,0.8156445,-10.40542,0.5630277,-53.25782,0.3366199,0.04701952,0.3099196,7.321435,0.52699,52.2236670661394,21.1205377978583,123.3294,689.2103,5.436827,923.2273,4.113752,0.9454748,6.231892,-0.913909,2.770859,-12.2989,2.151215,-3.852119,2.275781,12.9204142066531,36.3561936305975,0,0,0,0,0,0,0,0.24,0.003653383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88,0.23,0.23,0,0.24,0,0.53,0,5.9,25.03,0x22200080
368042308,368042308,761,2020-02-24 11:17:16:521,1770,0,0,14,0,2,1152.109,0.8156902,-10.40541,0.5630573,-53.25777,0.3366437,0.04698798,0.3099356,7.3216,0.527155,52.2236670647883,21.1205378275533,123.3288,689.2101,5.437199,923.2253,4.11404,0.9448392,6.232205,-0.913909,2.770863,-12.2989,2.151224,-3.852119,2.275781,12.9204142066531,36.3562578369257,0,0,0,0,0,0,0,0.24,0.003653383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88,0.23,0.23,0,0.24,0,0.53,0,5.9,25.03,0x22200080
368100716,368100716,819,2020-02-24 11:17:16:580,1770,0,0,14,0,2,1151.502,0.8323407,-10.40244,0.573462,-53.23851,0.345124,0.03581763,0.3156289,7.380008,0.585563,52.2236665864953,21.1205483392349,123.1037,689.1567,5.569691,922.507,4.216792,0.7198446,6.343341,-0.913909,2.772557,-12.2989,2.154287,-3.852119,2.275788,12.9204142066531,36.378517274181,0,0,0,0,0,0,0,0.24,0.003653383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88,0.23,0.23,0,0.24,0,0.59,0,6,25.03,0x22200080
368100881,368100881,820,2020-02-24 11:17:16:580,1770,0,0,14,0,2,1151.5,0.8323891,-10.40243,0.5734912,-53.23846,0.3451481,0.03578605,0.3156451,7.380173,0.585728,52.2236665851441,21.12054836893,123.103,689.1566,5.570067,922.5049,4.217084,0.7192091,6.343657,-0.913909,2.772562,-12.2989,2.154296,-3.852119,2.275788,12.9204142066531,36.3785814465467,0,0,0,0,0,0,0,0.24,0.003653383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88,0.23,0.23,0,0.24,0,0.59,0,6,25.03,0x22200080
368159289,368159289,878,2020-02-24 11:17:16:638,1770,0,0,14,0,2,1150.893,0.850035,-10.39945,0.5837175,-53.21918,0.3537293,0.02460386,0.3213854,7.438581,0.644136,52.2236661068502,21.1205588806121,122.8779,689.1032,5.704083,921.7866,4.32106,0.4942145,6.455619,-0.913909,2.774255,-12.2989,2.157355,-3.852119,2.275795,12.9204142066531,36.4008647498734,0,0,0,0,0,0,0,0.24,0.003653383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88,0.23,0.23,0,0.24,0,0.64,0,6.2,25.03,0x22200080
368159454,368159454,878,2020-02-24 11:17:16:638,1770,0,0,14,0,2,1150.891,0.8500862,-10.39944,0.5837461,-53.21913,0.3537537,0.02457226,0.3214017,7.438746,0.644301,52.223666105499,21.1205589103071,122.8773,689.103,5.704464,921.7845,4.321355,0.4935789,6.455937,-0.913909,2.77426,-12.2989,2.157364,-3.852119,2.275795,12.9204142066531,36.4009288882861,0,0,0,0,0,0,0,0.24,0.003653383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88,0.23,0.23,0,0.24,0,0.64,0,6.2,25.03,0x22200080
368217862,368217862,937,2020-02-24 11:17:16:697,1770,0,0,14,0,2,1150.284,0.8687133,-10.39645,0.5938034,-53.19983,0.3624299,0.01337822,0.3271872,7.497154,0.702709,52.2236656272041,21.1205694219897,122.6522,689.0497,5.839905,921.0662,4.426479,0.2685843,6.568683,-0.913909,2.775952,-12.2989,2.160419,-3.852119,2.275802,12.9204142066531,36.423228900539,0,0,0,0,0,0,0,0.24,0.003653383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88,0.23,0.23,0,0.24,0,0.7,0,6.3,25.03,0x22200080
